rank,drug_name,best_pvalue,neg_log10_p,all_databases,n_original_compounds
882,Chromium Boss,0.0056420272800515,2.248564818296358,DSigDB,1
883,Surfactin,0.0056480247770158,2.248103406768994,DSigDB,1
884,Melamine,0.0056480247770158,2.248103406768994,DSigDB,1
885,Rolipram,0.0056480247770158,2.248103406768994,DSigDB,1
886,Propanil,0.0056480247770158,2.248103406768994,DSigDB,1
887,Sildenafil,0.0056480247770158,2.248103406768994,DSigDB,1
888,Pci,0.0056480247770158,2.248103406768994,DSigDB,1
889,Corticosterone,0.0056480247770158,2.248103406768994,DSigDB,1
890,Diosgenin,0.0056480247770158,2.248103406768994,DSigDB,1
891,Dimaprit,0.0056480247770158,2.248103406768994,DSigDB,1
892,Pregn-5-En-20-One 3-Hydroxy-,0.0056480247770158,2.248103406768994,DSigDB,1
893,3-Methylcholanthrene-23 Um In Dmso-Rat-Primary Rat Hepatocytes-1D-Up,0.0056571733493453,2.2474005132322543,DrugMatrix,1
894,Idarubicin-15 Um In Dmso-Rat-Primary Rat Hepatocytes-1D-Up,0.0056571733493453,2.2474005132322543,DrugMatrix,1
895,Lansoprazole-240 Um In Dmso-Rat-Primary Rat Hepatocytes-1D-Up,0.0057935996877161,2.237051515936201,DrugMatrix,1
896,5-Fluoro-2-Deoxyuridine-54 Mgkg In Saline-Rat-Bone Marrow-5D-Dn,0.0058674735874931,2.231548856707098,DrugMatrix,1
897,Netilmicin-40 Mgkg In Saline-Rat-Kidney-28D-Up,0.0058674735874931,2.231548856707098,DrugMatrix,1
898,Diethylstilbestrol,0.0060008199092704,2.221789406658951,DSigDB,1
899,Oxcarbazepine-1600 Mgkg In Cmc-Rat-Heart-1D-Up,0.0060437830481061,2.2186911337938744,DrugMatrix,1
900,Venlafaxine-320 Mgkg In Water-Rat-Heart-3D-Up,0.0060437830481061,2.2186911337938744,DrugMatrix,1
901,Ethanol-3000 Mgkg In Saline-Rat-Liver-025D-Up,0.0060437830481061,2.2186911337938744,DrugMatrix,1
902,Phenytoin,0.0060613813169454,2.217428393990959,DSigDB,1
903,Celecoxib Boss,0.0060613813169454,2.217428393990959,DSigDB,1
904,Bas,0.0060658909902869,2.217105398631729,DSigDB,1
905,Antimony Potassium Tartrate,0.0061230908437674,2.2130292972106447,DSigDB,1
906,Mevastatin-1200 Mgkg In Cmc-Rat-Kidney-3D-Up,0.0061806067354705,2.208968889161554,DrugMatrix,1
907,Amiloride,0.0061867303317732,2.2085388136672837,DSigDB,1
908,Indometacin,0.0061867303317732,2.2085388136672837,DSigDB,1
909,Pramoxine-526 Mgkg In Corn Oil-Rat-Heart-1D-Up,0.0062456377015968,2.2044232120303886,DrugMatrix,1
910,Beta-Estradiol 3-Benzoate-25 Mgkg In Corn Oil-Rat-Liver-1D-Up,0.0062456377015968,2.2044232120303886,DrugMatrix,1
911,Meloxicam-33 Mgkg In Corn Oil-Rat-Kidney-5D-Up,0.0062456377015968,2.2044232120303886,DrugMatrix,1
912,Mepacrine,0.0063175086939859,2.199454151743227,DSigDB,1
913,Mianserin-116 Mgkg In Corn Oil-Rat-Heart-3D-Up,0.0063742874272289,2.1955683573597655,DrugMatrix,1
914,Chloroxylenol-1915 Mgkg In Corn Oil-Rat-Liver-1D-Up,0.0064523372547543,2.190282940717223,DrugMatrix,1
915,In1152,0.0065129346751323,2.1862232777865884,DSigDB,1
916,Stavudine-1120 Um In Dmso-Rat-Primary Rat Hepatocytes-1D-Up,0.0066581577980868,2.176645916294663,DrugMatrix,1
917,Rabeprazole-333 Um In Dmso-Rat-Primary Rat Hepatocytes-1D-Up,0.0066644731926177,2.176234174619439,DrugMatrix,1
918,Monocrotaline-333 Um In Dmso-Rat-Primary Rat Hepatocytes-067D-Dn,0.0066644731926177,2.176234174619439,DrugMatrix,1
919,Copper Boss,0.0067293621835935,2.1720260967377745,DSigDB,1
920,Copperii Chloride,0.0067293621835935,2.1720260967377745,DSigDB,1
921,Buthionine Sulfoximine,0.0067673334453859,2.1695824240894033,DSigDB,1
922,Timolol-900 Mgkg In Water-Rat-Heart-5D-Dn,0.006776290078769,2.1690080110433185,DrugMatrix,1
923,Mitoxantrone-2 Mgkg In Saline-Rat-Heart-3D-Up,0.006776290078769,2.1690080110433185,DrugMatrix,1
924,Allyl Alcohol-32 Mgkg In Saline-Rat-Liver-1D-Up,0.006776290078769,2.1690080110433185,DrugMatrix,1
925,Sulconazole-40 Um In Dmso-Rat-Primary Rat Hepatocytes-067D-Dn,0.006776290078769,2.1690080110433185,DrugMatrix,1
926,Cyperquat,0.0067800235298492,2.1687687989255715,DSigDB,1
927,Letrozole-250 Mgkg In Corn Oil-Rat-Liver-5D-Up,0.0067923977081507,2.167976893229572,DrugMatrix,1
928,CPD001,0.0068237991956155,2.1659737616645747,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",1
929,Dichloromercury,0.0069209453925993,2.1598345774008214,DSigDB,1
930,Angiotensin Ii Human-072 Mgkg In Saline-Rat-Heart-1D-Up,0.0069847837887838,2.155847032755442,DrugMatrix,1
931,Rolipram-75 Mgkg In Cmc-Rat-Heart-3D-Up,0.0069907678355387,2.15547512061719,DrugMatrix,1
932,Nitrendipine-1100 Mgkg In Corn Oil-Rat-Heart-1D-Up,0.0069907678355387,2.15547512061719,DrugMatrix,1
933,Mehp,0.0070096591457962,2.154303099679403,DSigDB,1
934,Arsenite,0.0070803980049348,2.1499423289643715,DSigDB,1
935,Trihexyphenidyl-588 Mgkg In Cmc-Rat-Heart-5D-Up,0.0071054528989914,2.148408235081456,DrugMatrix,1
936,Rolipram-75 Mgkg In Cmc-Rat-Liver-1D-Up,0.0071054528989914,2.148408235081456,DrugMatrix,1
937,Amlodipine,0.0071126866524847,2.147966323608401,DSigDB,1
938,Hmn,0.0071126866524847,2.147966323608401,DSigDB,1
939,Amphetamine,0.0071126866524847,2.147966323608401,DSigDB,1
940,Leflunomide-60 Mgkg In Corn Oil-Rat-Spleen-5D-Up,0.0071937753485424,2.1430431287098592,DrugMatrix,1
941,Vinblastine-03 Mgkg In Saline-Rat-Bone Marrow-1D-Up,0.0071937753485424,2.1430431287098592,DrugMatrix,1
942,Fluconazole-10 Mgkg In Corn Oil-Rat-Liver-3D-Up,0.0071983879362352,2.1427647520112036,DrugMatrix,1
943,Azathioprine-160 Mgkg In Corn Oil-Rat-Liver-025D-Up,0.0071983879362352,2.1427647520112036,DrugMatrix,1
944,Crizotinib Lincs,0.0072437476683252,2.1400366864864497,DSigDB,1
945,8-Hydroxyquinoline,0.00737145567641,2.132446741475116,DSigDB,1
946,Lactacystin,0.0073850048718756,2.13164921384858,DSigDB,1
947,Dichloromethane,0.0073850048718756,2.13164921384858,DSigDB,1
948,Enterolactone,0.007390808769523,2.1313080345521156,DSigDB,1
949,Sparteine-2222 Um In Dmso-Rat-Primary Rat Hepatocytes-067D-Up,0.0074171898979735,2.129760601858332,DrugMatrix,1
950,Theophylline-225 Mgkg In Water-Rat-Heart-3D-Up,0.0074171898979735,2.129760601858332,DrugMatrix,1
951,Methotrexate-03 Mgkg In Corn Oil-Rat-Bone Marrow-1D-Dn,0.0074171898979735,2.129760601858332,DrugMatrix,1
952,N-Nitrosodimethylamine-10 Mgkg In Saline-Rat-Liver-1D-Up,0.007509896045432,2.1243660746080444,DrugMatrix,1
953,Streptozotocin-3000 Um In Dmso-Rat-Primary Rat Hepatocytes-067D-Up,0.007509896045432,2.1243660746080444,DrugMatrix,1
954,Sodium Chloride Boss,0.0075637431994265,2.1212632245341974,DSigDB,1
955,Zinc Boss,0.0075637431994265,2.1212632245341974,DSigDB,1
956,Imatinib Mesylate Boss,0.0075637431994265,2.1212632245341974,DSigDB,1
957,Pralidoxime Chloride-48 Mgkg In Saline-Rat-Heart-1D-Up,0.0075693810412648,2.120939631907248,DrugMatrix,1
958,Etoposide-125 Um In Dmso-Rat-Primary Rat Hepatocytes-1D-Up,0.0075693810412648,2.120939631907248,DrugMatrix,1
959,Gentian Violet-18 Mgkg In Corn Oil-Rat-Liver-1D-Up,0.0075693810412648,2.120939631907248,DrugMatrix,1
960,Acetaminophen,0.007622154945853,2.1179222269827735,DSigDB,1
961,Manganese Ii Chloride-700 Mgkg In Water-Rat-Liver-1D-Up,0.0076412776213441,2.1168340213313117,DrugMatrix,1
962,Sulpiride-1000 Mgkg In Cmc-Rat-Heart-3D-Up,0.0078313879127942,2.1061612635547524,DrugMatrix,1
963,Methotrexate-03 Mgkg In Corn Oil-Rat-Bone Marrow-025D-Up,0.0078313879127942,2.1061612635547524,DrugMatrix,1
964,Daunorubicin-325 Mgkg In Saline-Rat-Bone Marrow-1D-Up,0.0078707396127696,2.103984455105728,DrugMatrix,1
965,1-Naphthyl Isothiocyanate-16667 Um In Dmso-Rat-Primary Rat Hepatocytes-067D-Up,0.0078707396127696,2.103984455105728,DrugMatrix,1
966,Crizotinib Fda,0.0079425425151605,2.1000404517856515,DSigDB,1
967,Sodium Fluoride,0.0079711954069109,2.0984765443886984,DSigDB,1
968,Cacodylic Acid,0.0079711954069109,2.0984765443886984,DSigDB,1
969,Chloroquine,0.0079711954069109,2.0984765443886984,DSigDB,1
970,506-26,0.0080408935076057,2.09469568957717,DSigDB,1
971,Methacholine Boss,0.0080408935076057,2.09469568957717,DSigDB,1
972,Fluconazole Boss,0.0080408935076057,2.09469568957717,DSigDB,1
973,Ethylbenzene,0.0080408935076057,2.09469568957717,DSigDB,1
974,O-Xylene,0.0080408935076057,2.09469568957717,DSigDB,1
975,Cholesterol,0.0080408935076057,2.09469568957717,DSigDB,1
976,Leptomycin B,0.0080408935076057,2.09469568957717,DSigDB,1
977,Indomethacin-96 Mgkg In Water-Rat-Kidney-5D-Up,0.008053713159505,2.0940038422555967,DrugMatrix,1
978,170449-18,0.0080553382253006,2.093916219826033,DSigDB,1
979,Methyldopa-325 Mgkg In Water-Rat-Heart-1D-Up,0.0080570723966432,2.0938227339950988,DrugMatrix,1
980,L-Buthionine Sulfoximine-100000 Um In Dmso-Rat-Primary Rat Hepatocytes-067D-Up,0.0080570723966432,2.0938227339950988,DrugMatrix,1
981,Tgf Beta-1 Human Recombinant-5 Ngml In Dmso-Rat-Primary Rat Hepatocytes-1D-Up,0.0080937634212597,2.0918494940812247,DrugMatrix,1
982,Sulindac-64 Mgkg In Corn Oil-Rat-Liver-5D-Up,0.0081056649206321,2.09121135348457,DrugMatrix,1
983,4-Chloroaniline-75 Mgkg In Cmc-Rat-Kidney-5D-Up,0.0081056649206321,2.09121135348457,DrugMatrix,1
984,Mls003171503,0.0081341235198355,2.0896892369504063,DSigDB,1
985,Betamethasone,0.0081341235198355,2.0896892369504063,DSigDB,1
986,Allopurinol,0.0081341235198355,2.0896892369504063,DSigDB,1
987,Estradiol Valerate,0.0081341235198355,2.0896892369504063,DSigDB,1
988,CPC011,0.0081341235198355,2.0896892369504063,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",10
989,Amiodarone,0.0081670759377924,2.0879334063055977,DSigDB,1
990,Hexachlorophene,0.008258929301405,2.083076251545453,DSigDB,1
991,Bezafibrate,0.008258929301405,2.083076251545453,DSigDB,1
992,Gentamicin-40 Mgkg In Saline-Rat-Kidney-28D-Up,0.0082810623255811,2.081913946724303,DrugMatrix,1
993,Tgf Beta-1 Human Recombinant-5 Ngml In Dmso-Rat-Primary Rat Hepatocytes-067D-Up,0.0083572842412502,2.07793482670596,DrugMatrix,1
994,Lead Ii Acetate-200 Mgkg In Saline-Rat-Liver-5D-Up,0.0084151009351459,2.0749406705005162,DrugMatrix,1
995,Labetalol-250 Um In Dmso-Rat-Primary Rat Hepatocytes-1D-Up,0.0085693516086946,2.0670520372855528,DrugMatrix,1
996,Pirinixic Acid-364 Mgkg In Cmc-Rat-Liver-5D-Dn,0.0085922642745641,2.0658923737278734,DrugMatrix,1
997,Fluocinolone Acetonide-25 Mgkg In Corn Oil-Rat-Heart-3D-Up,0.0085922642745641,2.0658923737278734,DrugMatrix,1
998,Bithionol-59 Mgkg In Corn Oil-Rat-Bone Marrow-025D-Up,0.0085922642745641,2.0658923737278734,DrugMatrix,1
999,Testosterone,0.0086003854178291,2.065482085839484,DSigDB,1
1000,Ellipticine Ttd 00007811,0.0086181991651289,2.064583473659463,DSigDB,1
1001,Benazepril-1750 Mgkg In Cmc-Rat-Kidney-3D-Up,0.0087511477622979,2.0579349830756617,DrugMatrix,1
1002,Trimethoprim Boss,0.008799143475039,2.055559600823513,DSigDB,1
1003,Ramipril-1500 Mgkg In Cmc-Rat-Kidney-3D-Up,0.008799143475039,2.055559600823513,DrugMatrix,1
1004,2-Amino-4-Nitrophenol-625 Mgkg In Cmc-Rat-Kidney-1D-Up,0.0088441189708799,2.053345423934897,DrugMatrix,1
1005,Sulconazole-1200 Mgkg In Corn Oil-Rat-Liver-5D-Up,0.0088441189708799,2.053345423934897,DrugMatrix,1
1006,Racepinephrine-077 Mgkg In Saline-Rat-Heart-1D-Up,0.0088441189708799,2.053345423934897,DrugMatrix,1
1007,Hydroxyurea-400 Mgkg In Saline-Rat-Spleen-1D-Up,0.0088441189708799,2.053345423934897,DrugMatrix,1
1008,Salmeterol,0.0088949845958909,2.050854799679592,DSigDB,1
1009,Kenpaullone,0.0088949845958909,2.050854799679592,DSigDB,1
1010,Valsartan Boss,0.0088949845958909,2.050854799679592,DSigDB,1
1011,Egta,0.0088949845958909,2.050854799679592,DSigDB,1
1012,Stavudine-1120 Um In Dmso-Rat-Primary Rat Hepatocytes-067D-Up,0.0091017982446239,2.040872795528995,DrugMatrix,1
1013,Mitomycin C-17 Mgkg In Saline-Rat-Spleen-5D-Up,0.0091017982446239,2.040872795528995,DrugMatrix,1
1014,Epirubicin-27 Mgkg In Saline-Rat-Kidney-3D-Up,0.0091017982446239,2.040872795528995,DrugMatrix,1
1015,Gonadorelin Boss,0.0091310998885092,2.0394769062838995,DSigDB,1
1016,1-Phosphatidyl-Myo-Inositol Boss,0.0091310998885092,2.0394769062838995,DSigDB,1
1017,CPC001,0.0091664593591846,2.0377983827272463,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",16
1018,Selenium,0.0092084723270664,2.035812412686508,DSigDB,1
1019,Cisplatin-05 Mgkg In Saline-Rat-Kidney-28D-Up,0.0092422792666454,2.0342209128860556,DrugMatrix,1
1020,Stavudine-1400 Mgkg In Water-Rat-Liver-1D-Up,0.0093653935955162,2.028473965990954,DrugMatrix,1
1021,Oxfendazole-1500 Mgkg In Cmc-Rat-Kidney-5D-Up,0.0093653935955162,2.028473965990954,DrugMatrix,1
1022,Angiotensin Ii Human Boss,0.0094726504331891,2.0235284890579677,DSigDB,1
1023,Tenidap-41 Um In Dmso-Rat-Primary Rat Hepatocytes-1D-Up,0.0095716527497319,2.0190130655549274,DrugMatrix,1
1024,Nilotinib,0.0095822241063975,2.018533676200307,DSigDB,1
1025,Fenthion,0.0095822241063975,2.018533676200307,DSigDB,1
1026,Ac1L1Wkq,0.0095822241063975,2.018533676200307,DSigDB,1
1027,Isopentenyladenine,0.0095822241063975,2.018533676200307,DSigDB,1
1028,Oligomycin,0.0095822241063975,2.018533676200307,DSigDB,1
1029,Fucose Ttd 00008125,0.0095822241063975,2.018533676200307,DSigDB,1
1030,Enantone Tn,0.0095822241063975,2.018533676200307,DSigDB,1
1031,Hydralazine-280 Mgkg In Water-Rat-Liver-5D-Up,0.009634996954075,2.0161484183026257,DrugMatrix,1
1032,Diethylstilbestrol-120 Um In Dmso-Rat-Primary Rat Hepatocytes-067D-Up,0.009634996954075,2.0161484183026257,DrugMatrix,1
1033,Lacidipine-1 Mgkg In Corn Oil-Rat-Heart-025D-Up,0.009634996954075,2.0161484183026257,DrugMatrix,1
1034,Myrtecaine-140 Mgkg In Corn Oil-Rat-Heart-5D-Up,0.0096710172692051,2.0145278412049024,DrugMatrix,1
1035,Amantadine-220 Mgkg In Water-Rat-Liver-3D-Up,0.0097550985343207,2.0107683395246516,DrugMatrix,1
1036,Piperonyl Butoxide Boss,0.0098239719295051,2.007712887131089,DSigDB,1
1037,R406 Lincs,0.0098239719295051,2.007712887131089,DSigDB,1
1038,Terbutaline,0.0098859104546454,2.004983327643147,DSigDB,1
1039,Geranylgeranyl Pyrophosphate,0.0098859104546454,2.004983327643147,DSigDB,1
1040,Isoprenaline-42 Mgkg In Saline-Rat-Heart-5D-Up,0.0099107006745655,2.003895640334062,DrugMatrix,1
1041,Cadmium Boss,0.0099139424428768,2.003753606795964,DSigDB,1
1042,Chlorambucil-45 Mgkg In Corn Oil-Rat-Spleen-5D-Up,0.0099631139387393,2.0016049030370855,DrugMatrix,1
1043,Clemastine-2500 Mgkg In Cmc-Rat-Heart-5D-Up,0.0099631139387393,2.0016049030370855,DrugMatrix,1
1044,Fludrocortisone Acetate-125 Mgkg In Cmc-Rat-Liver-3D-Up,0.0099631139387393,2.0016049030370855,DrugMatrix,1
1045,Oxaliplatin-8 Mgkg In Saline-Rat-Bone Marrow-3D-Up,0.0100198433171195,1.999139069590773,DrugMatrix,1
1046,Nandrolone Phenpropionate Boss,0.0101005258226957,1.9956560167172623,DSigDB,1
1047,Indomethacin Sodium Boss,0.0101005258226957,1.9956560167172623,DSigDB,1
1048,Helenalin,0.0102490242014292,1.989317481350482,DSigDB,1
1049,Dexamethasone-456 Um In Dmso-Rat-Primary Rat Hepatocytes-067D-Up,0.0102620958521368,1.9887639331751108,DrugMatrix,1
1050,Phenacemide-400 Mgkg In Cmc-Rat-Heart-3D-Up,0.0102620958521368,1.9887639331751108,DrugMatrix,1
1051,Guanine Boss,0.0103271980906234,1.9860174925017364,DSigDB,1
1052,Tetracycline Boss,0.0103271980906234,1.9860174925017364,DSigDB,1
1053,Benzokfluoranthene,0.0104753840974091,1.979830043939038,DSigDB,1
1054,4-Chloro-2-Nitroaniline-1200 Mgkg In Cmc-Rat-Kidney-1D-Up,0.0104807805872084,1.9796063707785567,DrugMatrix,1
1055,Olanzapine-250 Um In Dmso-Rat-Primary Rat Hepatocytes-1D-Up,0.0105179009132263,1.9780709248937107,DrugMatrix,1
1056,Diltiazem,0.0105452884272276,1.9769415372483148,DSigDB,1
1057,R-Atenolol,0.0105566373938855,1.9764743956128237,DSigDB,1
1058,CPC002,0.0106119702505134,1.974203976184618,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",13
1059,335-Triiodo-L-Thyronine-01 Mgkg In Peg400-Rat-Heart-3D-Up,0.010775343402514,1.9675688802910898,DrugMatrix,1
1060,Procaine-2500 Mgkg In Water-Rat-Heart-5D-Up,0.0108811450076193,1.9633254020343147,DrugMatrix,1
1061,Go 6976,0.0109457336566673,1.9607551237841399,DSigDB,1
1062,Paclitaxel,0.0109457336566673,1.9607551237841399,DSigDB,1
1063,Guanidine Hydrochloride,0.0109457336566673,1.9607551237841399,DSigDB,1
1064,Indole-3-Carbinol,0.0110688224961252,1.9558985770106019,DSigDB,1
1065,Dl-Thioctic Acid,0.0110688224961252,1.9558985770106019,DSigDB,1
1066,Diclofenac-10 Mgkg In Corn Oil-Rat-Liver-3D-Up,0.011076379787367,1.9556021615640555,DrugMatrix,1
1067,Methylprednisolone Boss,0.011152967921505,1.952609546928347,DSigDB,1
1068,Tosylphenylalanyl Chloromethyl Ketone,0.011152967921505,1.952609546928347,DSigDB,1
