compound,best_pvalue,best_combined_score,n_entries,databases,nrf2_status,nrf2_confidence,is_pains,pains_category,auc_class,rank,neg_log10_p
ljp006,3.80268673331225e-41,2260.76200997861,4011,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,1,40.419909450448955
ljp005,3.6754033385256996e-34,1240.06197821258,2683,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,2,33.43469499451604
ljp006 mcf10a 3h-gdc-0941-10,6.594077689116459e-30,1383.95113911436,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,3,29.180845940457072
ljp006 mdamb231 3h-ql-xii-47-333,2.62086016246428e-29,1134.24093856508,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,4,28.581556150472803
ljp006 mcf10a 3h-dasatinib-10,2.42832250038867e-28,1858.1025110574,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,5,27.614693636032424
ciclopirox,6.51866128709941e-27,741.031147419328,7,DSigDB,unknown,,False,,putative_negative,6,26.18584158453204
ljp006 mcf10a 3h-gsk-1059615-10,1.32053107996588e-26,925.956666224245,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,7,25.879251372799477
8-azaguanine,3.0979898678710396e-26,471.624985782826,8,DSigDB,unknown,,False,,putative_negative,8,25.508920006956057
ljp006 mcf10a 3h-azd-7762-10,3.56362044526197e-26,932.442587254013,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,9,25.448108558088116
anisomycin,4.17057052019036e-26,270.536215552484,12,DSigDB,unknown,,False,,putative_negative,10,25.37980453092015
ljp006 mcf10a 3h-canertinib-111,5.75860063937314e-26,1114.17519247803,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,11,25.239683038874237
nickel sulfate,1.8726695471400602e-25,322.407826825597,2,DSigDB,unknown,,False,,putative_negative,12,24.727538851837334
ljp006 mcf10a 3h-afatinib-333,4.1088007861851803e-25,1158.91442413443,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,13,24.38628491484858
ljp006 mcf10a 3h-gefitinib-111,4.1088007861851803e-25,1158.91442413443,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,14,24.38628491484858
ljp005 bt20 3h-nilotinib-10,4.47040179275065e-25,986.23453084776,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,15,24.34965344140218
phorbol 12-myristate 13-acetate,5.00171190194915e-25,344.116898113434,2,DSigDB,unknown,,False,,putative_negative,16,24.300881327199097
ljp005 mcf10a 3h-tws-119-10,7.112663623664521e-25,1342.30120107262,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,17,24.147967729730475
menadione,1.18689305935593e-24,548.767601426924,10,DSigDB,unknown,,False,,putative_negative,18,23.925588409793402
ljp006 mcf10a 3h-saracatinib-10,2.53226901939811e-24,1231.15171647924,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,19,23.59649015827794
ljp006 mcf10a 3h-gsk-2126458-333,2.56149116879158e-24,1031.89890413773,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,20,23.591507137094567
ljp006 mcf10a 3h-lapatinib-333,7.22977562614607e-24,966.03046381941,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,21,23.14087518069146
ljp005 mcf10a 3h-pelitinib-037,8.342340869093901e-24,1038.74723064856,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,22,23.078712068800655
ljp005 skbr3 3h-ldn-193189-10,1.13748648448283e-23,642.204668454739,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,23,22.944053754890103
ljp005 mcf10a 3h-trametinib-10,1.1956142857818901e-23,1014.46481088282,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,24,22.922408904439735
ljp006 mcf10a 3h-afatinib-111,1.6815611352599302e-23,1190.54062532494,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,25,22.77428733874281
ljp006 mcf10a 3h-wz-4-145-10,4.7939592690048996e-23,925.847200358554,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,26,22.31930566019005
ljp006 mcf10a 3h-afatinib-004,2.00895688666611e-22,728.379697172476,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,27,21.697029383353254
estradiol,3.52858655082964e-22,125.532111473177,3,DSigDB,indirect,indirect,False,,indirect,28,21.452399225519994
ljp005 mcf10a 3h-dasatinib-10,3.74116039237556e-22,1052.31643352789,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,29,21.42699367217324
thioridazine,4.58334029595875e-22,489.107214145316,10,DSigDB,unknown,,False,,putative_negative,30,21.3388178968092
spiperone,5.99278935828367e-22,418.507252071251,5,DSigDB,unknown,,False,,putative_negative,31,21.222370987136284
ljp006 mcf10a 3h-canertinib-012,6.19592004930652e-22,781.67256211715,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,32,21.207894194910416
ljp006 mdamb231 3h-ql-xii-47-10,7.384004909712069e-22,630.272070227295,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,33,21.131708023214518
progesterone,8.19420578244572e-22,151.233908111397,5,DSigDB,unknown,,False,,putative_negative,34,21.086493133736738
ljp005 mcf10a 3h-erlotinib-111,1.11519348716389e-21,1075.62233734745,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,35,20.95264977555977
ljp006 mcf10a 3h-selumetinib-10,1.70485873591345e-21,941.314787221307,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,36,20.768311600691977
ljp007,1.95557663455599e-21,593.547179024394,1428,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,37,20.708725160375284
ljp006 mcf10a 3h-gsk-2126458-012,4.0538378322554705e-21,807.482746767514,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,38,20.392133628599417
ljp006 bt20 24h-ql-xii-47-012,4.8430697810470405e-21,478.844015649734,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,39,20.31487927340538
ljp005 mcf10a 3h-gsk-1059615-10,4.88419156978586e-21,1070.28033503383,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,40,20.311207310314938
ljp005 mcf10a 3h-tgx-221-004,5.5959442457251305e-21,789.168994930517,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,41,20.252126621180665
ljp005 mcf10a 3h-ldn-193189-10,6.915082235162631e-21,492.572284921081,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,42,20.160202650830882
ljp005 mcf10a 3h-pelitinib-012,7.04019418598966e-21,847.982283768655,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,43,20.152415361775404
ljp006 mcf10a 3h-pd-0325901-012,7.68941335376655e-21,771.504321418249,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,44,20.11410679244052
ljp006 mcf10a 3h-gsk-2126458-037,8.22448857275998e-21,657.723025056422,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,45,20.084891098476334
ljp006 mcf10a 3h-canertinib-004,8.56882288681819e-21,1314.7050272701,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,46,20.06707883372102
ljp005 ht29 24h-ldn-193189-10,1.0833678184468101e-20,401.062353409683,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,47,19.96522406931975
zinc,1.31593462082125e-20,145.867609094115,2,DSigDB,unknown,,False,,putative_negative,48,19.88076568710648
ljp005 mcf10a 3h-pd-0325901-004,1.38382805347508e-20,806.734467932287,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,49,19.858917869464616
ljp006 mcf10a 3h-selumetinib-037,1.62603445983303e-20,876.129046812627,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,50,19.78887025483251
ljp009 ht29 24h-bx-795-10,1.7360509887990302e-20,672.689474601298,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,51,19.76043752349774
ljp006 mcf10a 3h-canertinib-037,2.66492205256764e-20,768.588145505669,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,52,19.574315489314642
ljp006 skbr3 3h-jw-7-24-1-10,2.84374266367373e-20,566.034826964807,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,53,19.54610970639622
ljp005 skbr3 3h-ldn-193189-333,3.99119370482663e-20,634.884465352392,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,54,19.398897194066173
ljp005 mcf10a 3h-azd-8330-111,5.19101611320118e-20,886.192018465467,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,55,19.28474762304496
ljp006 mcf10a 3h-afatinib-10,6.317533435583481e-20,663.577478398373,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,56,19.199452450895823
ljp005 mcf10a 3h-gdc-0980-10,6.87040344132139e-20,716.497492825148,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,57,19.16301775970971
ljp006 mcf10a 3h-pd-0325901-037,1.09236260717037e-19,930.968790714321,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,58,18.96163317467796
ljp006 mcf10a 3h-lapatinib-10,1.4702367354519502e-19,624.414436498882,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,59,18.8326127301344
ljp006 mcf10a 3h-a443654-333,1.49877222539905e-19,578.81578148409,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,60,18.824264363661836
ljp006 hcc515 24h-ql-xii-47-10,1.7514245415963e-19,472.961258004076,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,61,18.75660856909381
ljp005 mcf10a 3h-pelitinib-111,3.2880064871153103e-19,695.246855930413,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,62,18.483067334284176
ljp006 mdamb231 24h-geldanamycin-333,3.2880064871153103e-19,695.246855930413,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,63,18.483067334284176
ljp005 mcf10a 24h-ldn-193189-333,4.0237997969732104e-19,403.404906344684,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,64,18.39536363561435
terfenadine,4.35244119759775e-19,382.822075366418,5,DSigDB,unknown,,False,,putative_negative,65,18.361267087581414
ljp006 mcf10a 3h-afatinib-012,4.47684357331108e-19,678.855166710375,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,66,18.34902808016082
ljp005 mcf10a 3h-trametinib-111,5.61116527196059e-19,566.683535069339,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,67,18.25094693934441
ljp005 mcf10a 3h-dovitinib-004,5.76859006981732e-19,1196.44482940736,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,68,18.238930321978206
stock1n-35215,5.9946647110155605e-19,728.556626896967,4,DSigDB,unknown,,False,,putative_negative,69,18.222235102511405
ljp005 mcf10a 3h-dasatinib-333,5.9946647110155605e-19,728.556626896967,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,70,18.222235102511405
ljp006 mcf10a 3h-pd-0325901-10,7.03200265208438e-19,485.922668435504,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,71,18.152920974142276
ljp006 mcf10a 3h-lapatinib-111,7.128909272874071e-19,795.982442737246,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,72,18.146976912365265
ljp005 mcf10a 3h-neratinib-10,7.23335282153269e-19,890.913226849128,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,73,18.14066035078735
lycorine,1.00557361005604e-18,205.668545249597,10,DSigDB,unknown,,False,,putative_negative,74,17.997586132654465
ljp006 mcf10a 3h-bms-387032-333,1.07495287468959e-18,398.226125086843,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,75,17.968610574549192
ljp005 mdamb231 3h-ldn-193189-10,1.2068080480199799e-18,535.919600269547,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,76,17.91836180224331
ljp005 mcf10a 3h-erlotinib-333,1.2068080480199799e-18,535.919600269547,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,77,17.91836180224331
ljp006 mcf10a 3h-pi-103-10,1.43827911966389e-18,750.591564041499,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,78,17.842156824407404
ljp006 mcf10a 3h-gefitinib-10,1.4717553599996001e-18,619.006521834561,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,79,17.832164373851782
ljp005 mcf10a 3h-erlotinib-10,1.96102669379166e-18,605.335153811709,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,80,17.707516494609873
ljp008,2.1070634443589e-18,71933.2758845139,1451,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,81,17.676322387448305
ljp006 mcf10a 3h-gsk-2126458-111,2.60255095596944e-18,592.130645193443,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,82,17.584600758578347
tonzonium bromide,3.47248907960451e-18,410.068312747743,4,DSigDB,unknown,,False,,putative_negative,83,17.459359111371473
ljp005 mcf10a 3h-torin-2-10,4.5387663456052694e-18,523.343959514375,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,84,17.343062174037545
ljp005 skbr3 3h-nilotinib-10,4.71310755231611e-18,756.195107317338,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,85,17.326692649600762
ljp006 mcf10a 3h-selumetinib-012,5.29285320819564e-18,611.251900567885,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,86,17.27631015054957
ljp009,6.23285540680794e-18,287809.73825442,1497,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,87,17.205312947992297
ljp006 mcf10a 3h-as-605240-333,7.77324144237425e-18,543.559139271312,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,88,17.10939784259139
ljp006 mcf10a 3h-afatinib-037,9.45740365250197e-18,583.151315689929,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,89,17.024228074396824
tetradioxin,9.57245725928375e-18,92.5685972194521,2,DSigDB,unknown,,False,,putative_negative,90,17.01897656408695
ljp005 bt20 3h-azd-8330-012,9.981645095793901e-18,1966.16761307701,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,91,17.00079787583219
retinoic acid,1.09096839392147e-17,90.013024246746,4,DSigDB,unknown,,False,,putative_negative,92,16.962187831028825
ljp005 mcf10a 3h-pd-0325901-111,1.2562020191775e-17,569.853126309527,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,93,16.900940512860824
ljp006 mcf10a 3h-bms-387032-10,1.53100970180747e-17,416.21055972718,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,94,16.815022057225907
methylbenzethonium chloride,1.55212934578051e-17,476.551527300157,4,DSigDB,unknown,,False,,putative_negative,95,16.809072089896098
cicloheximide,1.73428111518434e-17,213.690575829179,11,DSigDB,unknown,,False,,putative_negative,96,16.760880504969332
ljp006 bt20 24h-ql-xii-47-037,1.77300842501263e-17,331.108188208515,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,97,16.75128920070602
ljp006 mcf10a 3h-dasatinib-333,1.85932406120266e-17,670.437048865354,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,98,16.730644910536437
ljp006 mcf10a 3h-zstk-474-10,1.88702473590224e-17,604.567542982119,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,99,16.724222406885712
ljp005 mcf10a 3h-cgp-60474-10,1.96799633033174e-17,467.966118697352,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,100,16.705975715720815
ljp006 mdamb231 3h-ql-xii-47-111,2.1945772784165e-17,500.909793197993,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,101,16.658649121586407
ljp006 mdamb231 3h-bms-387032-333,2.48855394882613e-17,459.615499971174,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,102,16.604052939841186
ljp006 mcf10a 3h-gefitinib-037,2.8739998056232e-17,532.678822675764,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,103,16.541513265574366
ljp005 mcf10a 3h-trametinib-037,2.8739998056232e-17,532.678822675764,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,104,16.541513265574366
ljp005 mcf10a 3h-pd-0325901-333,3.11311171814412e-17,716.596856806815,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,105,16.506805293804174
ljp006 mcf10a 3h-gefitinib-333,3.41170299550244e-17,575.032387556451,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,106,16.467028783198742
ljp005 mdamb231 3h-cgp-60474-10,3.86497596896003e-17,414.659795868916,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,107,16.412853202025214
ljp005 mcf10a 3h-erlotinib-037,4.4246493416195604e-17,693.797193171202,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,108,16.354121141923
ljp005 mcf10a 3h-trametinib-333,4.8818204927433e-17,615.832769284264,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,109,16.311418193875063
ljp005 mcf10a 3h-gsk-1059615-333,5.8867340411883e-17,463.2189896368,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,110,16.230125584886576
pyrvinium,6.2935172456878e-17,375.360107595063,9,DSigDB,unknown,,False,,putative_negative,111,16.20110657339845
ljp006 mcf10a 3h-gsk-2126458-004,8.01894010961283e-17,534.792328230857,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,112,16.095883030090555
ljp006 mcf10a 3h-cgp-60474-012,8.88309463659563e-17,345.403737743022,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,113,16.05143571108339
ljp005 mcf10a 3h-pd-0325901-012,1.05716869292151e-16,522.352030767065,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,114,15.975855706581525
ljp006 hcc515 24h-sorafenib-10,1.19809198441017e-16,407.042065511589,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,115,15.921509837382278
ljp006 mcf10a 3h-cgp-60474-333,1.29341710237127e-16,303.272203271973,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,116,15.888261400837205
ljp005 mcf10a 3h-pd-184352-037,1.39927245902751e-16,804.206863230657,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,117,15.854097713720186
ljp005 mcf10a 3h-geldanamycin-333,1.6882525981673002e-16,613.238947414464,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,118,15.772562573241807
ljp006 mdamb231 3h-bms-387032-111,1.7447156052116199e-16,459.288419508983,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,119,15.75827535446589
ljp005 mcf10a 3h-neratinib-037,2.09121982803862e-16,771.92293642005,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,120,15.679600311952257
ljp006 mdamb231 3h-cgp-60474-333,2.4246125779406197e-16,360.847878676541,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,121,15.615357646218154
ljp006 mcf10a 3h-gefitinib-012,2.83534130397749e-16,441.171902983368,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,122,15.547394655461606
ljp005 hcc515 24h-ldn-193189-10,3.5623360004279005e-16,296.465735400421,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,123,15.448265120176035
ljp006 mcf10a 3h-geldanamycin-333,3.86615169713958e-16,512.678823048808,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,124,15.412721109454356
etoposide,4.08513063524463e-16,326.65960027147,8,DSigDB,unknown,,False,,putative_negative,125,15.38879405094093
ljp005 mcf10a 3h-pelitinib-004,4.10823328014195e-16,633.238191710947,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,126,15.386344903584522
ljp005 mcf10a 3h-neratinib-333,4.53570487861327e-16,713.330987037658,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,127,15.343355211116785
ljp005 mcf10a 3h-pd-184352-004,4.53570487861327e-16,713.330987037658,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,128,15.343355211116785
pd 98059,5.490495996025169e-16,224.553501860726,2,DSigDB,unknown,,False,,putative_negative,129,15.260388420831003
mebendazole,6.81210397342483e-16,190.481825776243,7,DSigDB,unknown,,False,,putative_negative,130,15.1667187320042
ljp005 mcf10a 3h-nvp-auy922-333,7.98799408957303e-16,593.676371254081,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,131,15.097562265141692
ljp006 mcf10a 3h-cgp-60474-10,8.26142162563494e-16,309.775385622789,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,132,15.082945212843773
sanguinarine,9.08746486399745e-16,177.916556802276,10,DSigDB,unknown,,False,,putative_negative,133,15.041557255296759
arsenenous acid,9.36297421840581e-16,105.037819036214,2,DSigDB,unknown,,False,,putative_negative,134,15.028586172473117
ljp005 mcf10a 3h-pelitinib-333,1.1029528958847201e-15,575.350706401824,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,135,14.957443034698674
ljp005 mdamb231 3h-trametinib-037,1.4815604837485801e-15,454.617835421638,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,136,14.829280614030663
ljp006 mcf10a 3h-selumetinib-004,1.5134455251387502e-15,557.907396161516,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,137,14.82003320639384
niclosamide,1.5838182358473901e-15,279.562812260481,14,DSigDB,unknown,,False,,putative_negative,138,14.80029466093969
ljp006 mdamb231 3h-sorafenib-10,1.91991090091103e-15,615.651575976948,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,139,14.716718925536322
decitabine,1.97118148268103e-15,90.9781292131749,2,DSigDB,unknown,,False,,putative_negative,140,14.705273389267708
1-chloro-24-dinitrobenzene,2.0819766667256602e-15,220.491751088177,2,DSigDB,unknown,,False,,putative_negative,141,14.681524142053664
ljp005 mcf10a 3h-buparlisib-10,2.6997439591367803e-15,594.563088858354,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,142,14.568677421917599
ljp005 mcf10a 3h-pd-0325901-037,2.79924464873194e-15,525.437877998947,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,143,14.552959143351936
ljp005 mdamb231 3h-pd-0325901-10,2.79924464873194e-15,525.437877998947,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,144,14.552959143351936
nickel chloride,3.5268120416845804e-15,163.639369977349,2,DSigDB,unknown,,False,,putative_negative,145,14.452617685054472
acetovanillone,4.01485393159252e-15,762.069604664144,1,DSigDB,unknown,,False,,putative_negative,146,14.396330250598828
ljp006 mcf10a 3h-hg-6-64-01-10,4.22694185952557e-15,454.410002249533,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,147,14.373973725736365
ljp005 mdamb231 3h-trametinib-012,4.3331062676144505e-15,379.019057912119,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,148,14.363200659944939
1-nitropyrene,5.15660797185128e-15,214.902328121096,2,DSigDB,unknown,,False,,putative_negative,149,14.287635884325953
