compound,best_pvalue,best_combined_score,n_entries,databases,nrf2_status,nrf2_confidence,is_pains,pains_category,auc_class,rank,neg_log10_p
ljp006 mcf10a 3h-a443654-111,2.05667734940669e-07,122.671211459926,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,871,6.6868338348794545
ljp006 ht29 24h-gsk-1904529a-10,2.05667734940669e-07,122.671211459926,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,872,6.6868338348794545
ljp006 mcf10a 24h-cgp-60474-10,2.1029685060046e-07,109.220764785284,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,873,6.677167231246552
ljp006 mdamb231 3h-jnk-9l-111,2.1029685060046e-07,109.220764785284,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,874,6.677167231246552
ljp005 hcc515 24h-radicicol-10,2.18010961583523e-07,98.5948662080558,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,875,6.661521669535053
ljp006 mcf10a 3h-bi-2536-10,2.18010961583523e-07,98.5948662080558,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,876,6.661521669535053
ljp005 bt20 3h-neratinib-004,2.27255015272417e-07,352.735274683112,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,877,6.643486523590696
ljp007 hcc515 24h-vandetanib-10,2.41682406306867e-07,106.764481757121,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,878,6.616754963667449
ljp005 bt20 24h-geldanamycin-004,2.41682406306867e-07,106.764481757121,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,879,6.616754963667449
mometasone,2.42149741717558e-07,136.030204321944,3,DSigDB,unknown,,False,,putative_negative,880,6.615915989845603
ljp005 hcc515 24h-pd-184352-333,2.42149741717558e-07,136.030204321944,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,881,6.615915989845603
ljp007 hcc515 24h-ibrutinib-111,2.42149741717558e-07,136.030204321944,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,882,6.615915989845603
