"TargetNode","PerturbationType","PerturbedRule","Condition","FerroptosisFlipped","CellSurvivalFlipped","HammingDistance","AffectedNodes","PerturbedFerroptosis","BaselineFerroptosis"
"KEAP1","add_inhibitor","(KEAP1_basal AND NOT PERTURB_INHIBITOR)","Oga_KO",NA,NA,4,"NFE2L2; KEAP1; SLC7A11; SQSTM1",NA,NA
"KEAP1","add_inhibitor","(KEAP1_basal AND NOT PERTURB_INHIBITOR)","Nrf2_OE",NA,NA,3,"KEAP1; SLC7A11; SQSTM1",NA,NA
"KEAP1","add_inhibitor","(KEAP1_basal AND NOT PERTURB_INHIBITOR)","Nrf2_KO",NA,NA,3,"KEAP1; SLC7A11; SQSTM1",NA,NA
"KEAP1","add_inhibitor","(KEAP1_basal AND NOT PERTURB_INHIBITOR)","BACH1_KO",NA,NA,4,"NFE2L2; KEAP1; SLC7A11; SQSTM1",NA,NA
"NFE2L2","remove_NOT","KEAP1","Sham",NA,NA,1,"NFE2L2",NA,NA
"NFE2L2","remove_NOT","KEAP1","WT_IR",NA,NA,1,"NFE2L2",NA,NA
"NFE2L2","remove_NOT","KEAP1","Ogt_KO",NA,NA,1,"NFE2L2",NA,NA
"NFE2L2","remove_NOT","KEAP1","Oga_KO",NA,NA,1,"NFE2L2",NA,NA
"NFE2L2","remove_NOT","KEAP1","Nrf2_OE",NA,NA,0,"",NA,NA
"NFE2L2","remove_NOT","KEAP1","Nrf2_KO",NA,NA,0,"",NA,NA
"NFE2L2","remove_NOT","KEAP1","BACH1_KO",NA,NA,1,"NFE2L2",NA,NA
"NFE2L2","add_activator","(NOT KEAP1 OR PERTURB_ACTIVATOR)","Sham",NA,NA,1,"NFE2L2",NA,NA
"NFE2L2","add_activator","(NOT KEAP1 OR PERTURB_ACTIVATOR)","WT_IR",NA,NA,1,"NFE2L2",NA,NA
"NFE2L2","add_activator","(NOT KEAP1 OR PERTURB_ACTIVATOR)","Ogt_KO",NA,NA,1,"NFE2L2",NA,NA
"NFE2L2","add_activator","(NOT KEAP1 OR PERTURB_ACTIVATOR)","Oga_KO",NA,NA,1,"NFE2L2",NA,NA
