compound,best_pvalue,best_combined_score,n_entries,databases,nrf2_status,nrf2_confidence,is_pains,pains_category,auc_class
ljp005 mdamb231 24h-withaferin-a-10,3.64628241863628e-06,132.140646727293,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 mcf10a 3h-celastrol-333,7.39927777389527e-06,58.8159214075365,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp005 ht29 24h-withaferin-a-004,7.50232295155678e-06,48.0608857139608,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 lncap 3h-withaferin-a-111,9.1422952517105e-06,133.688770968623,1,LINCS_L1000_Chem_Pert_up,activator,medium,True,literature_classified,positive
ljp005 mcf10a 3h-withaferin-a-333,9.46270947475204e-06,87.7634576874844,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp005 skbr3 24h-withaferin-a-037,1.14516298645729e-05,125.84349881546,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 mcf10a 3h-withaferin-a-111,1.37846826377029e-05,95.7279596611983,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
pterostilbene,1.46868731257614e-05,79.3504605369504,1,DSigDB,activator,medium,True,resveratrol_analog,positive
ljp006 mdamb231 3h-celastrol-333,1.63251600380474e-05,91.79537592434,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 mcf10a 3h-celastrol-111,1.63251600380474e-05,91.79537592434,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 skbr3 24h-withaferin-a-10,1.68510349458971e-05,67.0681315530052,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 mcf10a 3h-withaferin-a-10,1.89765254934026e-05,65.3347033459976,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 lncap 24h-withaferin-a-333,2.39513646595722e-05,50.7555772058437,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp005 bt20 24h-withaferin-a-111,2.64216225240791e-05,81.3498705512258,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp005 mdamb231 3h-withaferin-a-333,4.12887921692995e-05,72.5819487159255,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 bt20 3h-celastrol-037,4.61782579669061e-05,163.761559589252,1,LINCS_L1000_Chem_Pert_up,activator,medium,True,literature_classified,positive
ljp006 hcc515 24h-withaferin-a-111,5.33622740923215e-05,82.4064060919371,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 mcf10a 3h-withaferin-a-004,8.64552625259768e-05,71.823327224046,1,LINCS_L1000_Chem_Pert_up,activator,medium,True,literature_classified,positive
ljp006 ht29 24h-celastrol-333,0.0001346170677064,63.1508634386722,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
alpha-hexylcinnamaldehyde,0.0001477886591814,77.2589066065997,1,DSigDB,activator,medium,False,,positive
p-benzoquinone,0.000154806816276,60.6036187628074,2,DSigDB,unknown,,True,quinone,excluded
ljp005 skbr3 3h-withaferin-a-111,0.0002218223380473,91.9833968660522,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 lncap 3h-withaferin-a-333,0.0002305010738193,53.8092061308962,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
cinnamaldehyde,0.0002683927468064,27.9408939863968,2,DSigDB,activator,medium,False,,positive
ljp006 mcf10a 24h-celastrol-333,0.0002847126434837,27.5575873128604,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
catechol-40 mgkg in saline-rat-liver-3d-up,0.000348913574405,21.2532604984043,2,DrugMatrix,unknown,,True,catechol,excluded
hydroquinone,0.0004015205496656,25.3931706353369,2,DSigDB,activator,high,True,quinone,positive
ljp006 skbr3 3h-withaferin-a-037,0.0004076368481012,73.1294864944167,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 lncap 3h-celastrol-012,0.0004417830746821,53.7159488866312,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp005 bt20 24h-withaferin-a-10,0.0004525491256536,33.4254320467385,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 bt20 24h-celastrol-10,0.0006708698952104,29.8861301405315,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 mcf10a 24h-withaferin-a-333,0.0007108085378581,23.3082732678998,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 mdamb231 24h-celastrol-10,0.0008437696124754,42.8956020819176,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
diphenylcyclopropenone,0.0008936428005945,78.7993682152863,2,DSigDB,unknown,,True,ene_one,excluded
ljp006 mcf10a 3h-celastrol-037,0.0009500731070812,52.649189338481,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
catechol,0.0009501429461317,41.1194809674274,1,DSigDB,unknown,,True,catechol,excluded
ljp006 skbr3 24h-celastrol-10,0.0009661680968754,34.2250523518817,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 lncap 3h-celastrol-111,0.0009661680968754,34.2250523518817,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp005 hcc515 24h-withaferin-a-111,0.0010665340799661,39.4483777413509,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 lncap 3h-celastrol-10,0.001902683906561,39.7404210021827,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
garcinol,0.0019737509972925,54.359488910396,1,DSigDB,unknown,,True,literature_classified,excluded
ljp006 skbr3 3h-celastrol-037,0.0019737509972925,54.359488910396,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 skbr3 3h-withaferin-a-111,0.0024318035074588,35.8660086223893,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 mdamb231 3h-celastrol-111,0.0024347423340301,29.0145712479756,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 lncap 24h-celastrol-111,0.0025478321504701,19.8417191689604,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
--epigallocatechin gallate boss,0.0027130615693415,15.3004748944645,2,DSigDB,activator,medium,True,literature_classified,positive
ljp005 skbr3 3h-withaferin-a-037,0.0027562017640149,46.2956473774131,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
genistein boss,0.0032243402849038,17.0491023805454,2,DSigDB,activator,medium,True,literature_classified,positive
cpc006 hcc515 6h-rottlerin ncgc00025228-11-968,0.0036844855632525,65.9243293119077,1,LINCS_L1000_Chem_Pert_down,unknown,,True,literature_classified,excluded
resveratrol boss,0.0044979200753662,13.124789129995,2,DSigDB,activator,high,True,literature_classified,positive
baicalein ttd 00002293,0.0046555630214747,27.0654193983941,1,DSigDB,activator,medium,True,literature_classified,positive
ljp005 mcf10a 24h-withaferin-a-111,0.0056420272800515,24.8211881557281,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
catechol boss,0.0073850048718756,21.9228551082206,1,DSigDB,unknown,,True,catechol,excluded
ljp006 mdamb231 24h-withaferin-a-111,0.0088949845958909,25.5693198512047,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
apigenin,0.0105566373938855,10.8868932456593,10,DSigDB,activator,medium,True,literature_classified,positive
ljp006 skbr3 24h-celastrol-012,0.0110688224961252,18.0581259865608,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
cpc001 hcc515 6h-rottlerin ncgc00025228-11-100,0.0128402518592045,16.7763336190713,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,True,literature_classified,excluded
genistein-375 mgkg in corn oil-rat-liver-5d-dn,0.0136543771328467,8.71107697062952,2,DrugMatrix,activator,medium,True,literature_classified,positive
eplerenone boss,0.0147779877460116,27.5349292552479,2,DSigDB,unknown,,True,ene_one,excluded
kaempferol,0.017110264964499,11.3195503331581,2,DSigDB,activator,medium,True,literature_classified,positive
zearalenone,0.0176360564487475,9.15255833943706,2,DSigDB,unknown,,True,ene_one,excluded
ljp005 mdamb231 24h-withaferin-a-111,0.0189682893290557,23.3112496370424,1,LINCS_L1000_Chem_Pert_up,activator,medium,True,literature_classified,positive
ljp006 mcf10a 24h-celastrol-111,0.0201368734408945,9.11165112794459,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
sulforaphane,0.0214740859359237,10.1710058519744,2,DSigDB,activator,high,False,,positive
emodin,0.0224314448482286,9.95922501220932,2,DSigDB,unknown,,True,literature_classified,excluded
--epigallocatechin gallate,0.0249248152173261,4.87066283362507,2,DSigDB,activator,medium,True,literature_classified,positive
catechol-195 mgkg in saline-rat-liver-3d-up,0.0263851660225143,6.91080675660646,2,DrugMatrix,unknown,,True,catechol,excluded
ljp006 skbr3 3h-celastrol-10,0.0275554281538663,16.1817406984314,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
curcumin boss,0.0287913105638772,6.85620042614287,2,DSigDB,activator,high,True,literature_classified,positive
cpc018 ht29 6h-rottlerin ncgc00025228-11-100,0.0295466799670866,30.6305621988997,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,True,literature_classified,excluded
cpc006 nomo1 6h-curcumin-480,0.0323918731586647,10.2013560628029,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,high,True,literature_classified,positive
cpc006 hcc15 6h-curcumin-480,0.0336650616831555,8.11679579630087,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,high,True,literature_classified,positive
baicalein,0.0341219634999699,9.89613443059452,1,DSigDB,activator,medium,True,literature_classified,positive
rottlerin,0.0377512904292007,9.32078024277078,1,DSigDB,unknown,,True,literature_classified,excluded
cpc006 wsudlcl2 6h-rottlerin ncgc00025228-11-968,0.0456947466310167,8.29490680765938,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,True,literature_classified,excluded
cpc006 cov644 6h-curcumin-480,0.046356495403006,7.38550569843155,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,high,True,literature_classified,positive
acenaphthenequinone,0.0465414020768535,20.0059385716675,1,DSigDB,unknown,,True,quinone,excluded
fisetin,0.0511841983690293,8.96491397698322,4,DSigDB,activator,medium,True,literature_classified,positive
cpc006 h1299 6h-curcumin-480,0.052257714740366,7.61978361867696,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,high,True,literature_classified,positive
ljp006 mcf10a 24h-withaferin-a-111,0.0539001625581647,6.74615639299187,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
quercetin ttd 00010442,0.0540061145001182,8.63650977918844,2,DSigDB,activator,high,True,literature_classified,positive
2-aminoanthraquinone,0.0594054107730516,15.7820387732216,1,DSigDB,unknown,,True,quinone,excluded
cpc006 hcc515 6h-curcumin-480,0.0598975774197526,8.02639196513513,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,high,True,literature_classified,positive
emodin ttd 00007826,0.0603798861036469,9.99557360986855,2,DSigDB,unknown,,True,literature_classified,excluded
ljp008 hcc515 24h-resveratrol-10,0.0603798861036469,9.99557360986855,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,high,True,literature_classified,positive
emodin boss,0.0693461855071215,7.21409612293484,2,DSigDB,unknown,,True,literature_classified,excluded
cpc006 tyknu 6h-curcumin-480,0.0723034445754381,6.133185449016,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,high,True,literature_classified,positive
ljp006 skbr3 24h-celastrol-037,0.0723034445754381,6.133185449016,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
myricetin ttd 00009430,0.0726562546233285,6.96755182753947,2,DSigDB,activator,medium,True,literature_classified,positive
cpc018 asc 24h-rottlerin ncgc00025228-11-100,0.0726562546233285,6.96755182753947,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,True,literature_classified,excluded
cpc006 sklu1 6h-curcumin-480,0.0750673996497152,5.97416486387327,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,high,True,literature_classified,positive
ljp006 bt20 24h-withaferin-a-10,0.0760453608819172,6.73194988082738,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp005 bt20 24h-withaferin-a-037,0.0806361709961198,11.5885784207271,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
genistein-20 mgkg in corn oil-rat-liver-5d-dn,0.0834886370809548,3.91066799795362,2,DrugMatrix,activator,medium,True,literature_classified,positive
cpc006 sklu1 6h---gallocatechin gallate-888,0.0866863611165333,5.38744741693276,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,True,literature_classified,excluded
apigenin boss,0.0959813981769186,4.99391807064574,2,DSigDB,activator,medium,True,literature_classified,positive
rhein,0.0970577196027335,6.68211220371096,1,DSigDB,unknown,,True,literature_classified,excluded
resveratrol ttd 00010551,0.0970577196027335,6.68211220371096,1,DSigDB,activator,high,True,literature_classified,positive
cpc018 skb 24h-rottlerin-100,0.0979897660237652,5.51601755588627,1,LINCS_L1000_Chem_Pert_down,unknown,,True,literature_classified,excluded
cpc006 mdst8 6h-curcumin-480,0.0979897660237652,5.51601755588627,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,high,True,literature_classified,positive
