compound,best_pvalue,best_combined_score,n_entries,databases,nrf2_status,nrf2_confidence,is_pains,pains_category,auc_class
ljp006 mdamb231 24h-selumetinib-111,0.0031155239113588,24.3886472890746,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-selumetinib-333,6.67750698640368e-05,55.2501152762734,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-thz-2-98-01-10,0.0034150147423372,33.0369235468786,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-torin-1-012,0.0020105761117956,31.2146198172493,1,LINCS_L1000_Chem_Pert_up,unknown,,False,,putative_negative
ljp006 mdamb231 24h-torin-1-037,7.72271063933322e-07,97.4592082283437,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-torin-1-10,0.0148154680835205,12.088380621924,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-torin-1-111,0.0006132880536413,34.3692502674703,1,LINCS_L1000_Chem_Pert_up,unknown,,False,,putative_negative
ljp006 mdamb231 24h-torin-1-333,0.0360045175536497,11.337176137089,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-withaferin-a-10,1.3135095849231598e-11,298.275966703659,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 mdamb231 24h-withaferin-a-111,0.0088949845958909,25.5693198512047,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 mdamb231 24h-withaferin-a-333,1.4565307994171998e-13,242.717965945211,1,LINCS_L1000_Chem_Pert_up,activator,medium,True,literature_classified,positive
ljp006 mdamb231 24h-wye-125132-004,0.0027330227766207,34.1340129068694,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-wye-125132-012,4.24502912157108e-06,105.044003472141,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-wye-125132-037,0.0383252347174999,10.8868932456593,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-wye-125132-10,1.50498424123503e-06,72.0266813773874,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-wye-125132-111,0.0022984446613264,25.4011293270591,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-wye-125132-333,0.0092086920516846,16.7646233412577,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-wz-4-145-10,0.183257439433642,3.12567379337358,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-wz-4-145-111,0.236270219900716,3.22245504917529,1,LINCS_L1000_Chem_Pert_up,unknown,,False,,putative_negative
ljp006 mdamb231 24h-wz-4-145-333,0.566630083600046,0.692558248164881,1,LINCS_L1000_Chem_Pert_up,unknown,,False,,putative_negative
ljp006 mdamb231 24h-xmd-1150-037,0.0005844806898138,63.6812089547253,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-xmd-1150-10,0.081023401879794,4.6188475729964,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-xmd-1150-111,0.0158414914997787,15.0778258020307,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-xmd-1150-333,0.0342514372706027,7.11667353265378,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-xmd11-85h-10,0.101906060463158,5.34174497185746,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-y-39983-10,0.0001327429955797,53.261306753431,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 24h-zstk-474-10,0.0002062107723698,41.3978924030516,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 3h-a443654-012,0.014554726485957,19.5298993322447,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 3h-a443654-037,0.0013318387632207,36.3888296300536,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 3h-a443654-10,2.57617912776441e-07,88.3656824570508,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 3h-a443654-111,4.72035758741633e-06,77.6870775946322,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 3h-a443654-333,1.15137638966313e-08,117.715301387903,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 3h-afatinib-10,0.0051320385775657,25.9085934478993,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 3h-afatinib-111,0.022083319774358,15.3439792392818,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 3h-alvocidib-004,0.0061230908437674,17.5635868012072,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 3h-alvocidib-012,1.34208999651208e-13,230.648901018327,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative
ljp006 mdamb231 3h-alvocidib-037,5.21201891311111e-08,103.390134199393,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative
ljp006 mdamb231 3h-alvocidib-10,2.8234646655932803e-10,149.21121230094,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 3h-alvocidib-111,1.4996739864868701e-10,150.090240475501,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative
ljp006 mdamb231 3h-alvocidib-333,7.776040135686631e-14,293.076497995199,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative
