gene,rna_log2fc,prot_log2fc,residual
MRPL2,0.384388555075183,-0.3633279996350751,-0.3683809428323946
ATP8A1,-0.553843970945413,0.23806079310451977,0.36820156023821593
EIF4A2,0.002773631169154,-0.41768948674925,-0.36775399579009715
GMPR,-0.328433977270697,-0.4653603316319064,-0.3676997999893284
ME1,-0.257353438889504,-0.4548201096047926,-0.3674018595390832
PITPNB,0.0790948713744484,0.32833670716564534,0.36727476267648596
NEDD8,0.217078778172334,-0.3858814578133085,-0.366826060181636
CTSL,0.613936497761092,0.4045547815770387,0.3664253491194459
DNAJC5,0.153823840661784,-0.39398809651122235,-0.3658180397075014
RRAGA,-0.118084990893704,0.2979808843529561,0.3653313818153189
ACSS2,-0.462974899645045,-0.4811715163546939,-0.36412444035056823
QKI,-0.243916683556437,-0.4471295005065077,-0.3616474067324504
CTSA,0.0161140518983572,-0.40934813891535526,-0.36133492300608505
PACSIN3,1.34060417258567,-0.21838988967796524,-0.3612277994187151
PRDX6,0.335825740625179,-0.3630305831944227,-0.3610859145124578
TXNDC17,0.154290988654891,-0.3883796605165841,-0.3602769169520766
CDH2,-0.162259116905512,-0.43350955433331606,-0.35979382881656474
SPTB,0.329797022944995,0.35694201364057676,0.3597553845782385
PLOD1,-0.0186791390973535,0.3057275143251079,0.3587542215113396
ALAD,-0.148679800112752,-0.43025326342549874,-0.3584942364563452
SOD1,0.64245322173989,-0.3162277433281737,-0.35846626560546274
ACYP1,0.173690780737885,-0.38325595484116803,-0.35794860559375397
CSRP3,0.591646212478449,-0.3229854915118402,-0.3579030268244056
EML2,0.203296969099339,-0.37863209549036014,-0.3575908213813985
S100A13,0.872613743108691,-0.2819311774899482,-0.3573344579616107
GANAB,0.0143323364855439,0.30848308164105553,0.3567530321131679
PDCD10,0.0217347350247696,0.30923093208645547,0.3564342410852527
NUDT3,-0.0526972770102939,-0.41385767224960546,-0.35592915431235567
ARFGAP2,0.102700346245494,-0.3910927811462521,-0.3555561337548654
INPPL1,0.335944435024789,-0.357478044124095,-0.35555047859708766
ADD3,-1.19325698147119,0.13308444290088062,0.35536081067672176
PEX3,-0.74418993986859,0.1963252918115419,0.35389377763073543
