gene,rna_log2fc,prot_log2fc,residual,studentized_residual,mean_sham,mean_ir
APOE,0.500630613892478,1.710179348393737,1.6883766179185449,4.4655334488228835,17.267478799919058,18.977658148312795
CORO1A,1.6092684422857,1.8518006540127594,1.670249825622542,4.417590474217219,15.545443865534082,17.39724451954684
FN1,0.54877447846056,1.666745713554576,1.6380057393789984,4.3323091192640915,17.0019841342226,18.668729847777175
FETUB,2.52101956816317,1.9047655738364302,1.591836846911122,4.210198488601261,15.102625127911315,17.007390701747745
C1QB,0.369878143095206,1.5798174432580332,1.576855363870696,4.170574442094107,16.26360030173224,17.843417744990273
EGFR,0.001751263264812,1.474839899515791,1.5249227075914134,4.03321941642024,15.291556403819692,16.766396303335483
ANXA1,0.311958467959566,1.4647961121064164,1.4701799124083774,3.888431944017741,16.788622059315184,18.2534181714216
ARHGDIB,0.128336223795524,1.4116121151195244,1.443454785477009,3.8177475084661583,17.38714870643579,18.798760821555316
COL6A6,-2.56723711076776,-1.8351931816549545,-1.414934473202284,-3.7423150444755895,16.321899930483664,14.48670674882871
COL4A2,1.03697388320587,-1.2861179582855868,-1.3852045545174785,-3.6636833310836736,18.090280530293096,16.80416257200751
C3,-0.507648797443462,1.2118590136668814,1.3353433318586478,3.531806974103139,18.536083989928688,19.74794300359557
CP,-0.125726089864848,1.2343577169238422,1.302809251167883,3.445758622088872,16.684288415626664,17.918646132550506
COL4A1,0.987477612858564,-1.2010734439433755,-1.2930279228693569,-3.41988829894685,19.369251115835226,18.16817767189185
HSPA1A,6.25473877934256,2.12703650023402,1.2761011070567108,3.375119103856586,16.061872757725762,18.188909257959782
EMILIN1,1.08226799700251,-1.1646518444714928,-1.270265052316707,-3.359683508874954,14.809448022719906,13.644796178248413
UBE2D1,-1.06210694596528,-1.4098286543555645,-1.2064502243705724,-3.1909017064619043,14.635260174284594,13.22543151992903
COL1A2,-1.08498918759051,-1.3925052174005508,-1.1858295928926545,-3.1363628561703076,18.174544423507253,16.782039206106703
ANK1,-0.654892825300321,1.0369655330966232,1.181666837374433,3.125352916913504,15.978286873535339,17.015252406631962
B2M,-0.542149063731317,1.0146250919536417,1.1430806927192985,3.0232976540118863,15.263406490281417,16.27803158223506
